AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
FD530,3/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),6:24 am,6:33 am
FD602,3/7/2022,Leonora (LNO / YLEO),Kalgoorlie-Boulder (KGI / YPKG),7:59 am,8:53 am
FD456,3/7/2022,Goondiwindi (GOO / YGDI),Toowoomba (YTWB),8:24 am,9:08 am
FD456,3/7/2022,Brisbane (BNE / YBBN),Goondiwindi (GOO / YGDI),9:14 am,9:42 am
FD478,3/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),12:12 pm,12:40 pm
FD602,3/7/2022,Kalgoorlie-Boulder (KGI / YPKG),Leonora (LNO / YLEO),3:01 pm,3:51 pm
FD478,3/7/2022,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),4:54 pm,5:29 pm
FD478,3/7/2022,Hervey Bay (HVB / YHBA),Brisbane (BNE / YBBN),6:10 pm,6:55 pm
FD416,3/7/2022,Normanton (YNTN),Mount Isa (ISA / YBMA),6:54 pm,8:03 pm
FD617,4/7/2022,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),2:01 am,2:47 am
FD456,4/7/2022,Brisbane (BNE / YBBN),Roma (RMA / YROM),2:19 am,2:48 am
FD449,4/7/2022,Mackay (MKY / YBMK),Brisbane (BNE / YBBN),2:58 am,3:54 am
FD449,4/7/2022,Gladstone (GLT / YGLA),Brisbane (BNE / YBBN),6:48 am,7:32 am
FD478,4/7/2022,Rockhampton (ROK / YBRK),Brisbane (BNE / YBBN),8:31 am,9:58 am
FD602,4/7/2022,Jandakot (JAD / YPJT),Kalgoorlie-Boulder (KGI / YPKG),9:00 am,9:47 am
FD416,4/7/2022,Mount Isa (ISA / YBMA),Winton (WIN / YWTN),9:24 am,10:27 am
FD416,4/7/2022,Winton (WIN / YWTN),Townsville (TSV / YBTL),9:51 am,1:04 pm
FD607,4/7/2022,Derby (DRB / YDBY),Darwin (DRW / YPDN),9:52 am,10:33 am
FD602,4/7/2022,Leinster (LER / YLST),Kalgoorlie-Boulder (KGI / YPKG),9:59 am,10:53 am
FD456,4/7/2022,Chinchilla (CCL / YCCA),Wellcamp Airport (WTB / YBWW),10:00 am,10:39 am
FD493,4/7/2022,Dirranbandi (DRN / YDBI),Wellcamp Airport (WTB / YBWW),10:11 am,10:52 am
FD849,4/7/2022,Alice Springs (ASP / YBAS),Papunya (YPAY),10:27 am,10:48 am
FD478,4/7/2022,Hervey Bay (HVB / YHBA),Brisbane (BNE / YBBN),11:27 am,12:12 pm
FD624J,4/7/2022,Broome (BME / YBRM),Karratha (KTA / YPKA),11:39 am,12:12 pm
FD617,4/7/2022,Wiluna (WUN / YWLU),Meekatharra (MKR / YMEK),11:46 am,2:31 pm
FD493,4/7/2022,Wellcamp Airport (WTB / YBWW),Charleville (CTL / YBCV),11:54 am,2:22 pm
FD602,4/7/2022,Warburton (YWBR),Leinster (LER / YLST),12:26 pm,2:46 pm
FD416,4/7/2022,Townsville (TSV / YBTL),Normanton (YNTN),12:56 pm,2:56 pm
FD416,4/7/2022,Townsville (TSV / YBTL),Mount Isa (ISA / YBMA),1:08 pm,3:13 pm
FD478,4/7/2022,Bundaberg (BDB / YBUD),Rockhampton (ROK / YBRK),1:25 pm,2:01 pm
FD456,4/7/2022,Brisbane (BNE / YBBN),Chinchilla (CCL / YCCA),1:48 pm,2:15 pm
FD493,4/7/2022,Charleville (CTL / YBCV),Dirranbandi (DRN / YDBI),2:02 pm,2:41 pm
FD607,4/7/2022,Broome (BME / YBRM),Derby (DRB / YDBY),2:05 pm,2:37 pm
FD456,4/7/2022,Wellcamp Airport (WTB / YBWW),Brisbane (BNE / YBBN),2:11 pm,4:35 pm
FD617,4/7/2022,Meekatharra (MKR / YMEK),Jandakot (JAD / YPJT),2:46 pm,3:44 pm
FD530,4/7/2022,Whyalla (WYA / YWHA),Yorketown (YYOR),3:09 pm,5:51 pm
