Location,Latitude,Longitude,AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
Adelaide,-34.934399,138.541505,FD596,7/7/2022,Adelaide (ADL / YPAD),Essendon (MEB / YMEN),13:02:00,13:21:00
Adelaide,-34.934399,138.541505,FD580,17/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),10:58:00,11:12:00
Adelaide,-34.934399,138.541505,FD543,5/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),19:39:00,19:52:00
Adelaide,-34.934399,138.541505,FD534,17/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),15:06:00,15:25:00
Adelaide,-34.934399,138.541505,FD596,6/7/2022,Adelaide (ADL / YPAD),Kadina (YKDI),16:32:00,16:32:00
Adelaide,-34.934399,138.541505,FD580,16/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),22:07:00,22:26:00
Adelaide,-34.934399,138.541505,FD543,8/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),09:37:00,09:48:00
Adelaide,-34.934399,138.541505,FD596,5/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),19:14:00,19:28:00
Adelaide,-34.934399,138.541505,FD596,14/7/2022,Adelaide (ADL / YPAD),Port Pirie (PPI / YPIR),21:40:00,21:47:00
Adelaide,-34.934399,138.541505,FD580,13/7/2022,Adelaide (ADL / YPAD),Renmark (RMK / YREN),16:34:00,16:39:00
Adelaide,-34.934399,138.541505,FD580,11/7/2022,Adelaide (ADL / YPAD),Yorketown (YYOR),05:04:00,05:04:00
Adelaide,-34.934399,138.541505,FD534,13/7/2022,Adelaide (ADL / YPAD),Kadina (YKDI),23:29:00,23:30:00
Adelaide,-34.934399,138.541505,FD596,13/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),16:47:00,17:04:00
Adelaide,-34.934399,138.541505,FD596,18/7/2022,Adelaide (ADL / YPAD),Cleve (CVC / YCEE),13:56:00,14:07:00
Adelaide,-34.934399,138.541505,FD534,16/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),11:11:00,11:25:00
Adelaide,-34.934399,138.541505,FD534,13/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),10:44:00,10:58:00
Adelaide,-34.934399,138.541505,FD530,16/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),09:59:00,10:18:00
Adelaide,-34.934399,138.541505,FD596,6/7/2022,Adelaide (ADL / YPAD),Coober Pedy (CPD / YCBP),15:55:00,16:14:00
Adelaide,-34.934399,138.541505,FD849,6/7/2022,Adelaide (ADL / YPAD),Alice Springs (ASP / YBAS),22:12:00,22:31:00
Adelaide,-34.934399,138.541505,FD278,16/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),15:08:00,15:26:00
Adelaide,-34.934399,138.541505,FD596,6/7/2022,Adelaide (ADL / YPAD),Renmark (RMK / YREN),18:55:00,19:03:00
Adelaide,-34.934399,138.541505,FD596,12/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),10:15:00,10:31:00
Adelaide,-34.934399,138.541505,FD596,14/7/2022,Adelaide (ADL / YPAD),Kingston (YKIG),15:07:00,15:18:00
Adelaide,-34.934399,138.541505,FD534,16/7/2022,Adelaide (ADL / YPAD),Wudinna (YWUD),15:43:00,16:01:00
Adelaide,-34.934399,138.541505,FD596,10/7/2022,Adelaide (ADL / YPAD),Adelaide (ADL / YPAD),22:06:00,22:21:00
Adelaide,-34.934399,138.541505,FD534,17/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),10:01:00,10:15:00
Adelaide,-34.934399,138.541505,FD580,10/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),17:29:00,17:48:00
Adelaide,-34.934399,138.541505,FD534,8/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),17:16:00,17:34:00
Adelaide,-34.934399,138.541505,FD534,11/7/2022,Adelaide (ADL / YPAD),Port Pirie (PPI / YPIR),12:46:00,12:54:00
Adelaide,-34.934399,138.541505,FD530,17/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),09:07:00,09:26:00
Adelaide,-34.934399,138.541505,FD534,12/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),07:46:00,07:59:00
Adelaide,-34.934399,138.541505,FD248,15/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),09:21:00,09:39:00
Adelaide,-34.934399,138.541505,FD856,11/7/2022,Adelaide (ADL / YPAD),Alice Springs (ASP / YBAS),18:38:00,18:58:00
Adelaide,-34.934399,138.541505,FD580,13/7/2022,Adelaide (ADL / YPAD),Waikerie (YWKI),10:39:00,10:41:00
Adelaide,-34.934399,138.541505,FD534,8/7/2022,Adelaide (ADL / YPAD),Naracoorte (NAC / YNRC),13:42:00,13:58:00
Adelaide,-34.934399,138.541505,FD534,17/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),09:58:00,10:12:00
Adelaide,-34.934399,138.541505,FD534,16/7/2022,Adelaide (ADL / YPAD),Olympic Dam (OLP / YOLD),18:54:00,19:12:00
Adelaide,-34.934399,138.541505,FD538,16/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),07:19:00,07:33:00
Adelaide,-34.934399,138.541505,FD534,13/7/2022,Adelaide (ADL / YPAD),Cummins Town (YCMM),18:59:00,19:14:00
Adelaide,-34.934399,138.541505,FD534,12/7/2022,Adelaide (ADL / YPAD),Waikerie (YWKI),08:46:00,08:50:00
Adelaide,-34.934399,138.541505,FD534,12/7/2022,Adelaide (ADL / YPAD),Peterborough (YPTB),03:45:00,03:51:00
Adelaide,-34.934399,138.541505,FD534,11/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),16:04:00,16:20:00
Adelaide,-34.934399,138.541505,FD248,14/7/2022,Adelaide (ADL / YPAD),White Cliffs (YWHC),16:34:00,16:52:00
Adelaide,-34.934399,138.541505,FD596,17/7/2022,Adelaide (ADL / YPAD),Cowell (YCWL),10:47:00,11:04:00
Adelaide,-34.934399,138.541505,FD596,12/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),18:29:00,18:39:00
