"","Location","Latitude","Longitude","AircraftId","Date","Origin","Destination","DepartureAEST","ArrivalAEST"
"1","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Kadina (YKDI)",23:29:00,23:30:00
"2","Adelaide",-34.934399,138.541505,"FD580","17-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",10:58:00,11:12:00
"3","Adelaide",-34.934399,138.541505,"FD534","12-07-2022","Adelaide (ADL / YPAD)","Peterborough (YPTB)",03:45:00,03:51:00
"4","Adelaide",-34.934399,138.541505,"FD530","15-07-2022","Adelaide (ADL / YPAD)","Wilpena Pound (YHAW)",18:19:00,18:35:00
"5","Adelaide",-34.934399,138.541505,"FD278","16-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",15:08:00,15:26:00
"6","Adelaide",-34.934399,138.541505,"FD543","05-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",19:39:00,19:52:00
"7","Adelaide",-34.934399,138.541505,"FD596","13-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",16:47:00,17:04:00
"8","Adelaide",-34.934399,138.541505,"FD596","14-07-2022","Adelaide (ADL / YPAD)","Kingston (YKIG)",15:07:00,15:18:00
"9","Adelaide",-34.934399,138.541505,"FD534","16-07-2022","Adelaide (ADL / YPAD)","Wudinna (YWUD)",15:43:00,16:01:00
"10","Adelaide",-34.934399,138.541505,"FD596","05-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",19:14:00,19:28:00
"11","Adelaide",-34.934399,138.541505,"FD534","11-07-2022","Adelaide (ADL / YPAD)","Port Pirie (PPI / YPIR)",12:46:00,12:54:00
"12","Adelaide",-34.934399,138.541505,"FD596","07-07-2022","Adelaide (ADL / YPAD)","Essendon (MEB / YMEN)",13:02:00,13:21:00
"13","Adelaide",-34.934399,138.541505,"FD580","10-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",17:29:00,17:48:00
"14","Adelaide",-34.934399,138.541505,"FD596","18-07-2022","Adelaide (ADL / YPAD)","Cleve (CVC / YCEE)",13:56:00,14:07:00
"15","Adelaide",-34.934399,138.541505,"FD580","13-07-2022","Adelaide (ADL / YPAD)","Renmark (RMK / YREN)",16:34:00,16:39:00
"16","Adelaide",-34.934399,138.541505,"FD580","16-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",22:07:00,22:26:00
"17","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",22:09:00,22:27:00
"18","Adelaide",-34.934399,138.541505,"FD596","06-07-2022","Adelaide (ADL / YPAD)","Renmark (RMK / YREN)",18:55:00,19:03:00
"19","Adelaide",-34.934399,138.541505,"FD856","06-07-2022","Adelaide (ADL / YPAD)","Alice Springs (ASP / YBAS)",01:18:00,01:38:00
"20","Adelaide",-34.934399,138.541505,"FD580","11-07-2022","Adelaide (ADL / YPAD)","Yorketown (YYOR)",05:04:00,05:04:00
"21","Adelaide",-34.934399,138.541505,"FD596","08-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",13:56:00,14:07:00
"22","Adelaide",-34.934399,138.541505,"FD534","17-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",10:01:00,10:15:00
"23","Adelaide",-34.934399,138.541505,"FD534","08-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",17:16:00,17:34:00
"24","Adelaide",-34.934399,138.541505,"FD534","16-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",11:11:00,11:25:00
"25","Adelaide",-34.934399,138.541505,"FD543","08-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",09:37:00,09:48:00
"26","Adelaide",-34.934399,138.541505,"FD580","13-07-2022","Adelaide (ADL / YPAD)","Waikerie (YWKI)",10:39:00,10:41:00
"27","Adelaide",-34.934399,138.541505,"FD534","08-07-2022","Adelaide (ADL / YPAD)","Naracoorte (NAC / YNRC)",13:42:00,13:58:00
"28","Adelaide",-34.934399,138.541505,"FD596","06-07-2022","Adelaide (ADL / YPAD)","Kadina (YKDI)",16:32:00,16:32:00
"29","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",10:44:00,10:58:00
"30","Adelaide",-34.934399,138.541505,"FD534","17-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",15:06:00,15:25:00
"31","Adelaide",-34.934399,138.541505,"FD596","10-07-2022","Adelaide (ADL / YPAD)","Adelaide (ADL / YPAD)",22:06:00,22:21:00
"32","Adelaide",-34.934399,138.541505,"FD596","14-07-2022","Adelaide (ADL / YPAD)","Port Pirie (PPI / YPIR)",21:40:00,21:47:00
"33","Adelaide",-34.934399,138.541505,"FD248","14-07-2022","Adelaide (ADL / YPAD)","White Cliffs (YWHC)",16:34:00,16:52:00
"34","Adelaide",-34.934399,138.541505,"FD530","17-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",09:07:00,09:26:00
"35","Adelaide",-34.934399,138.541505,"FD530","16-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",09:59:00,10:18:00
"36","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",19:30:00,19:45:00
"37","Adelaide",-34.934399,138.541505,"FD248","15-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",09:21:00,09:39:00
"38","Adelaide",-34.934399,138.541505,"FD534","10-07-2022","Adelaide (ADL / YPAD)","Tumby Bay (YTBB)",20:56:00,21:10:00
"39","Adelaide",-34.934399,138.541505,"FD596","08-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",15:09:00,15:26:00
"40","Adelaide",-34.934399,138.541505,"FD596","07-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",18:52:00,19:03:00
"41","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",00:16:00,00:31:00
"42","Adelaide",-34.934399,138.541505,"FD534","17-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",09:58:00,10:12:00
"43","Adelaide",-34.934399,138.541505,"FD534","12-07-2022","Adelaide (ADL / YPAD)","Waikerie (YWKI)",08:46:00,08:50:00
"44","Adelaide",-34.934399,138.541505,"FD538","16-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",07:19:00,07:33:00
"45","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Cummins Town (YCMM)",18:59:00,19:14:00
"46","Adelaide",-34.934399,138.541505,"FD596","07-07-2022","Adelaide (ADL / YPAD)","Kingscote (KGC / YKSC)",13:58:00,14:01:00
"47","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Wudinna (YWUD)",17:33:00,17:50:00
"48","Adelaide",-34.934399,138.541505,"FD596","05-07-2022","Adelaide (ADL / YPAD)","Millicent (MLR / YMCT)",17:47:00,18:03:00
"49","Adelaide",-34.934399,138.541505,"FD596","06-07-2022","Adelaide (ADL / YPAD)","Coober Pedy (CPD / YCBP)",15:55:00,16:14:00
